code_type;code_commune;geo point;geo shape;infobulle;nom;ligne;en_service;couvert;etiquette;num_sation;nb_bornettes;rue;mot_directeur;No;locations_2016;nb_places
2;;43.56162609958036, 1.3949048405893159;"{""coordinates"": [[1.394904840589316, 43.56162609958036]], ""type"": ""MultiPoint""}";"Arrêt: Camus
L04";Camus;L04;;;;;;;;;;
3;;43.62401080283259, 1.4842146713852038;"{""coordinates"": [[1.484214671385204, 43.62401080283259]], ""type"": ""MultiPoint""}";"Arrêt: Carènes
106 83 84";Carènes;106 83 84;;;;;;;;;;
2;;43.61462623895079, 1.3941304919266464;"{""coordinates"": [[1.394130491926646, 43.61462623895079]], ""type"": ""MultiPoint""}";"Arrêt: Carlos Gardel
46";Carlos Gardel;46;;;;;;;;;;
15;;43.502358272480954, 1.41117273407582;"{""coordinates"": [[1.41117273407582, 43.502358272480954]], ""type"": ""MultiPoint""}";"Arrêt: Castelvieil
119";Castelvieil;119;;;;;;;;;;
3;;43.60696791745205, 1.3552413563544197;"{""coordinates"": [[1.35524135635442, 43.60696791745205]], ""type"": ""MultiPoint""}";"Arrêt: Caulet
25 63 L02";Caulet;25 63 L02;;;;;;;;;;
2;;43.6154594112436, 1.3994929017062785;"{""coordinates"": [[1.399492901706278, 43.6154594112436]], ""type"": ""MultiPoint""}";"Arrêt: Cauterets
66";Cauterets;66;;;;;;;;;;
9;;43.44499920831388, 1.3116217280824434;"{""coordinates"": [[1.311621728082443, 43.44499920831388]], ""type"": ""MultiPoint""}";"Arrêt: Centre Hospitalier
302";Centre Hospitalier;302;;;;;;;;;;
15;;43.64379327388138, 1.338793239597108;"{""coordinates"": [[1.338793239597108, 43.64379327388138]], ""type"": ""MultiPoint""}";"Arrêt: Centre de Rétention
170 171";Centre de Rétention;170 171;;;;;;;;;;
9;;43.61872983279777, 1.5048294658216053;"{""coordinates"": [[1.504829465821605, 43.61872983279777]], ""type"": ""MultiPoint""}";"Arrêt: Château d'eau
106 51";Château d'eau;106 51;;;;;;;;;;
2;;43.53494718952177, 1.470878414224256;"{""coordinates"": [[1.470878414224256, 43.53494718952177]], ""type"": ""MultiPoint""}";"Arrêt: Château de Soule
56";Château de Soule;56;;;;;;;;;;
11;;43.65015401787939, 1.317312327880176;"{""coordinates"": [[1.317312327880176, 43.65015401787939]], ""type"": ""MultiPoint""}";"Arrêt: Chênes
171 74 75";Chênes;171 74 75;;;;;;;;;;
15;;43.51985857557751, 1.432687072881546;"{""coordinates"": [[1.432687072881546, 43.51985857557751]], ""type"": ""MultiPoint""}";"Arrêt: Ch. de Canti
119";Ch. de Canti;119;;;;;;;;;;
2;;43.62391075372085, 1.4094114753731726;"{""coordinates"": [[1.409411475373173, 43.62391075372085]], ""type"": ""MultiPoint""}";"Arrêt: Ch. de Roques
L01";Ch. de Roques;L01;;;;;;;;;;
9;;43.545029483006495, 1.3961384543663282;"{""coordinates"": [[1.396138454366328, 43.545029483006495]], ""type"": ""MultiPoint""}";"Arrêt: Champollion
49";Champollion;49;;;;;;;;;;
2;;43.56630843821301, 1.4684380623842959;"{""coordinates"": [[1.468438062384296, 43.56630843821301]], ""type"": ""MultiPoint""}";"Arrêt: Champs Magnétiques
78";Champs Magnétiques;78;;;;;;;;;;
9;;43.64942876408605, 1.465340884317567;"{""coordinates"": [[1.465340884317567, 43.64942876408605]], ""type"": ""MultiPoint""}";"Arrêt: Champs de l'Hers
114";Champs de l'Hers;114;;;;;;;;;;
2;;43.52803627530203, 1.537972709074568;"{""coordinates"": [[1.537972709074568, 43.52803627530203]], ""type"": ""MultiPoint""}";"Arrêt: Chante Caille
79 80";Chante Caille;79 80;;;;;;;;;;
15;;43.49816330485713, 1.4349723821201277;"{""coordinates"": [[1.434972382120128, 43.49816330485713]], ""type"": ""MultiPoint""}";"Arrêt: Chapelle Gleyzette
119";Chapelle Gleyzette;119;;;;;;;;;;
